id,building_reference_number,price,inspection_date,date_of_transfer,address,property_type,new_build,local_authority_label,constituency_label,posttown,construction_age_band,postcode,current_energy_rating,potential_energy_rating,current_energy_efficiency,potential_energy_efficiency,built_form,transaction_type,environment_impact_current,environment_impact_potential,energy_consumption_current,energy_consumption_potential,co2_emissions_current,co2_emiss_curr_per_floor_area,co2_emissions_potential,lighting_cost_current,lighting_cost_potential,heating_cost_current,heating_cost_potential,hot_water_cost_current,hot_water_cost_potential,total_floor_area,energy_tariff,mains_gas_flag,glazed_type,glazed_area,extension_count,number_habitable_rooms,number_heated_rooms,low_energy_lighting,number_open_fireplaces,hotwater_description,hot_water_energy_eff,hot_water_env_eff,floor_description,windows_description,windows_energy_eff,windows_env_eff,walls_description,walls_energy_eff,walls_env_eff,roof_description,roof_energy_eff,roof_env_eff,mainheat_description,mainheat_energy_eff,mainheat_env_eff,mainheatcont_description,mainheatc_energy_eff,mainheatc_env_eff,lighting_description,lighting_energy_eff,lighting_env_eff,main_fuel,tenure
3,10000486321,372500,2021-02-09,2021-04-19T00:00:00Z,"89 DOWNING ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1950-1966,RM9 6NA,D,B,67,81,Mid-Terrace,marketed sale,63,77,215,115,3,38,1.7,81,81,513,473,97,67,80,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,1,5,5,77,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 77% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
4,10001139530,300000,2021-06-24,2021-03-01T00:00:00Z,57 MAPLESTEAD ROAD,House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1930-1949,RM9 4XH,C,B,74,90,Mid-Terrace,rental,74,91,165,38,1.9,29,0.5,55,55,339,286,80,54,65,Single,Y,double glazing installed during or after 2002,Normal,0,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Good,Good,"Cavity wall, with external insulation",Good,Good,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
5,10000978611,315000,2021-05-13,2021-03-09T00:00:00Z,"196 PORTERS AVENUE, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1950-1966,RM8 2AN,C,B,75,89,Mid-Terrace,rental,76,89,155,54,1.8,27,0.7,55,55,319,319,80,54,65,Single,Y,"double glazing, unknown install date",Normal,0,4,4,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
6,10000041668,300000,2021-01-08,2021-02-18T00:00:00Z,"110 HATFIELD ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1950-1966,RM9 6JT,D,B,61,83,End-Terrace,marketed sale,54,81,267,97,3.7,47,1.4,78,78,626,439,106,51,78,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,1,4,4,80,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
7,10000027725,360000,2021-03-01,2021-03-23T00:00:00Z,"104 SALISBURY AVENUE, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1930-1949,IG11 9XS,G,B,15,85,Mid-Terrace,marketed sale,28,74,488,125,7.6,83,2,104,69,2038,469,608,133,92,off-peak 10 hour,N,not defined,Normal,0,4,0,56,0,"Electric immersion, standard tariff",Very Poor,Poor,"Suspended, no insulation (assumed)",Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 50 mm loft insulation",Poor,Poor,No system present: electric heaters assumed,Very Poor,Poor,None,Very Poor,Very Poor,Low energy lighting in 56% of fixed outlets,Good,Good,To be used only when there is no heating/hot-water system or data is from a community network,Owner-occupied
8,10000481510,302000,2021-01-06,2021-05-21T00:00:00Z,"85 ALIBON ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1967-1975,RM10 8BY,C,B,73,88,Mid-Terrace,rental,72,87,168,64,2.3,30,0.9,64,64,381,340,101,69,77,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,3,3,100,0,From main system,Good,Good,"Suspended, insulated",Fully double glazed,Average,Average,"Cavity wall, filled cavity and internal insulation",Very Good,Very Good,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and at least two room thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
10,10001057122,335000,2021-06-14,2021-05-19T00:00:00Z,31 PURLAND CLOSE,Bungalow,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1950-1966,RM8 1AS,D,B,64,88,Semi-Detached,rental,60,88,274,60,2.6,48,0.6,46,46,468,314,79,54,53,Single,Y,"double glazing, unknown install date",Normal,0,3,3,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
11,10000367505,430000,2021-03-11,2021-06-29T00:00:00Z,"46 PEMBERTON GARDENS, CHADWELL HEATH",House,N,Barking and Dagenham,Dagenham and Rainham,CHADWELL HEATH,England and Wales: 1930-1949,RM6 6SH,D,C,60,79,Mid-Terrace,marketed sale,56,76,235,114,4.3,41,2.1,117,80,838,634,105,73,105,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,1,6,5,54,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 54% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
12,10001208569,270000,2021-05-07,2021-04-30T00:00:00Z,92 HARTS LANE,Flat,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1950-1966,IG11 8LL,C,C,76,80,Semi-Detached,rental,76,81,139,110,2,24,1.6,71,71,332,255,100,101,82,Single,Y,"double glazing, unknown install date",Normal,0,4,4,100,0,From main system,Good,Good,(another dwelling below),Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (social)
14,10000193021,342500,2021-02-25,2021-05-14T00:00:00Z,"137 ST AWDRYS ROAD, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1900-1929,IG11 7QE,D,B,62,86,Mid-Terrace,marketed sale,59,86,236,62,3.2,41,0.9,127,64,590,379,101,69,77,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,3,3,0,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas (not community),Owner-occupied
